pytanie,odpowiedz
Czy COM40 prowadzi sprzedaż detaliczną dla klientów indywidualnych?,"COM40 jest jednym z największych producentów mebli tapicerowanych w Polsce, skupiającym się na masowej produkcji kontraktowej (B2B) dla globalnych marek. Nie prowadzimy bezpośredniego sklepu detalicznego dla klientów indywidualnych."
Czy Nowy Styl nawiązuje współpracę z dostawcami na podstawie umowy czy dokumentu zamówienia?,"W przypadku długoterminowej współpracy preferujemy podpisanie umowy ramowej, chociaż nie wykluczamy możliwości współpracy opierającej się wyłącznie na dokumentach zamówienia."
Jak wygląda proces akceptacji jakościowej nowych komponentów od dostawców?,"Po pozytywnej ocenie dostawcy kupiec składa zamówienie na partię próbną wraz z wymaganą dokumentacją techniczną. W przypadku pozytywnego wyniku testów laboratoryjnych i montażowych, Nowy Styl składa zamówienie na partię z produkcji seryjnej."
Czy pokrowce mebli SITS można prać w pralce?,"To zależy od wybranego rodzaju tkaniny. Wiele modeli SITS oferuje opcję luźnego pokrowca (loose cover), który można zdjąć. Przed praniem należy bezwzględnie sprawdzić etykietę konserwacyjną - niektóre tkaniny wymagają wyłącznie prania chemicznego."
Jak złożyć zamówienie w sklepie internetowym?,"Wybierz produkt z oferty, określ jego parametry (rozmiar, kolor, rodzaj, ilość) i kliknij „Dodaj do koszyka”. W koszyku podaj swój adres, wybierz metodę dostawy oraz płatności i zatwierdź zamówienie. Otrzymasz e-mail potwierdzający."
Jak mogę dokonać płatności za zamówienie?,"Udostępniamy płatność gotówką przy odbiorze (nasi kurierzy przyjmują też płatności zbliżeniowo i BLIKiem), tradycyjny przelew, szybkie płatności online, BLIK, ApplePay, GooglePay, płatności odroczone (Twisto, PayPo) oraz system ratalny."
Jak dokonać zakupów na raty?,"Sprzedaż ratalną realizujemy online za pośrednictwem Santander Consumer Bank, Credit Agricole, PayU Raty lub Przelewy24. Wszystkie formalności i weryfikacja zdolności kredytowej odbywają się przez internet, bez wychodzenia z domu."
Czy sklep oferuje dodatkowe zniżki dla klientów?,"Tak, za zapis do newslettera przyznajemy 3% zniżki na zakupy. Klienci, którzy dokonali już u nas zakupów, otrzymują kod rabatowy 5% na kolejne zamówienie. Dodatkowo stałe promocje znajdują się w dedykowanej sekcji na stronie."
Jakie sprzęty AGD dobrać do małej kuchni w bloku?,"Do małej kuchni najlepiej wybrać kompaktowe sprzęty AGD: wąską zmywarkę (45 cm), płytę indukcyjną dwupalnikową oraz piekarnik z wbudowaną funkcją mikrofali, co pozwala zaoszczędzić cenną przestrzeń na blatach roboczych."
Czy warto zdecydować się na aneks kuchenny połączony z salonem?,"Tak, w małych mieszkaniach połączenie kuchni z salonem pozwala na optyczne powiększenie przestrzeni mieszkalnej i lepsze doświetlenie pomieszczenia, otwierając strefę dzienną domowników."
Czy meble Kler można spersonalizować pod kątem wymiarów?,"Marka Kler oferuje bardzo szerokie możliwości personalizacji modułowej. Wiele kolekcji pozwala na dobór układu elementów, rodzaju i koloru skóry lub tkaniny premium, a także funkcji dodatkowych (np. elektryczne sensory relaksu), jednak wymiary poszczególnych modułów są zdefiniowane technologicznie."
Czy produkty oferowane przez Partnerów Marketplace można odebrać w salonie stacjonarnym?,"Nie. Produkty oznaczone jako oferta od Sprzedawców Marketplace nie stanowią asortymentu własnego home&you, dlatego ich dostawa do salonów stacjonarnych nie jest możliwa. Nie można ich również opłacić kartą podarunkową home&you."
Gdzie sprawdzę saldo i ważność mojej karty podarunkowej?,"Saldo oraz datę ważności karty (ważna 12 miesięcy od końca miesiąca wydania) można sprawdzić na stronie internetowej w sekcji Karta podarunkowa -> Saldo karty, podając jej numer i kod PIN, bądź bezpośrednio przy kasie w dowolnym salonie stacjonarnym."
Co podlega reklamacji i jakich dokumentów potrzebuję?,"Reklamacji podlegają m.in. uszkodzenia transportowe, rysy, pęknięcia, nieszczelności urządzeń AGD lub niezgodność z opisem. Wymagany jest dowód zakupu (paragon/faktura lub potwierdzenie płatności kartą/numer zamówienia), dokładny opis wady oraz zdjęcia dokumentujące problem wysłane przez formularz online."
Jak poprawnie przygotować i odesłać zwrot do DUKA?,"Towar musi być nieużywany i w oryginalnym opakowaniu. Można skorzystać z portalu Wygodne Zwroty, gdzie wypełnia się formularz online i nadaje paczkę w wybranym punkcie (np. Paczkomat, Żabka) bez konieczności drukowania etykiety. Zwrot środków następuje do 14 dni."
Czy oferują Państwo szycie firan i zasłon na wymiar?,"Tak, Eurofirany posiadają profesjonalne pracownie krawieckie. Zamówienie na szycie miarowe można złożyć w salonach stacjonarnych lub za pomocą konfiguratora szycia online na naszej stronie, wybierając rodzaj wykończenia (taśma, przelotki, fleksy) oraz dokładne wymiary."
Czy w Maxfliz mogę zamówić kompleksowy projekt wnętrza?,"Tak, Maxfliz współpracuje z szerokim gronem architektów wnętrz i oferuje usługę profesjonalnego doradztwa projektowego przy zakupie materiałów wykończeniowych, płytek, armatury łazienkowej oraz mebli w naszych salonach handlowych."
"Czy muszę zakładać konto, aby dokonać zakupu w sklepie Komfort?","Nie, zakupy można zrobić bez rejestracji jako gość. Założenie darmowego konta daje jednak korzyści w postaci śledzenia statusu zamówienia, wglądu w pełną historię zakupów oraz przyspiesza realizację kolejnych transakcji."
Czy mogę zmienić lub anulować złożone zamówienie?,"Do momentu opłacenia zamówienia zmiany (ilość, rodzaj towaru, adres dostawy) można wprowadzać bezpośrednio. Po opłaceniu prosimy o pilny kontakt telefoniczny z Infolinią pod numerem 42 21 44 500 w celu weryfikacji etapu realizacji przesyłki."
Jakie metody płatności są akceptowane przy dostawie do domu?,"Akceptujemy przelewy online, karty płatnicze, system BLIK oraz płatności ratalne za pośrednictwem zintegrowanego operatora Przelewy24."
Ile czasu mam na zwrot produktu zakupionego na WestwingNow?,WestwingNow oferuje wydłużone prawo do odstąpienia od umowy. Na zwrot zakupionego towaru bez podania przyczyny masz aż 100 dni od dnia otrzymania przesyłki. Towar musi być odesłany w stanie nienaruszonym.
Jak zamówić formatki meblowe cięte na wymiar?,"Zamówienia na formatowanie płyt, oklejanie krawędzi oraz nawiercanie otworów CNC należy składać przez wysłanie projektu na adres email: cnc@meble.pl. Preferowanymi formatami plików są rysunki techniczne DWG lub DXF."
Dlaczego produkty w jednym zamówieniu mają różne terminy dostawy?,"TwojeMeble to platforma zrzeszająca produkty wielu różnych producentów. Czas realizacji zależy od dostępności towaru u konkretnego producenta. Zamówienie wysyłamy zazwyczaj w jednej zbiorczej paczce po skompletowaniu całości, chyba że ustalono inaczej."
Czy kurier ma obowiązek wniesienia paczki z meblami do mieszkania?,"Standardowo kurier ma obowiązek wniesienia przesyłki pod drzwi lokalu, jeżeli jej waga nie przekracza 30 kg. W przypadku paczek cięższych (np. duże szafy, łóżka, narożniki) kurier dostarcza przesyłkę pod budynek, chyba że podczas składania zamówienia wybrano opcję dostawy premium z usługą wniesienia."
Czy sklep Selsey oferuje profesjonalny montaż zamówionych mebli?,"Tak, przy wybranych grupach produktów oferujemy opcjonalną usługę profesjonalnego montażu mebli. Informacja o dostępności oraz cenniku tej usługi jest zamieszczona bezpośrednio na karcie wybranego produktu."
Czy istnieje możliwość celowego opóźnienia wysyłki zamówienia?,"Tak, możemy opóźnić wysyłkę zamówienia na prośbę klienta o maksymalnie 20 dni kalendarzowych względem standardowego terminu. Odpowiednią informację należy wpisać w polu uwag podczas finalizacji zamówienia (nie dotyczy produktów z wysyłką 24-48h)."
Co oznacza połączenie marek sfmeble.pl i meble.pl dla mojego zamówienia?,"W związku z dołączeniem sfmeble.pl do Grupy meble.pl następuje unifikacja magazynów i procedur obsługi. Przejściowo mogą wystąpić minimalne opóźnienia w realizacji lub obsłudze zwrotów, jednak dokładamy wszelkich starań, aby usprawnić standardy zakupowe."
Czy przy wyborze płatności ratalnej przez internet ponoszę dodatkowe koszty?,"To zależy od wybranej oferty banku. W Meblobranie.pl cyklicznie udostępniamy oferty 'Raty 0%', gdzie klient nie ponosi żadnych kosztów odsetek ani prowizji. Poza okresami promocyjnymi banki oferują standardowe oprocentowanie zależne od liczby rat."
Jak szybko wysyłane są produkty ze sklepu Emako?,"Większość asortymentu (akcesoria domowe, organizery, tekstylia) znajduje się w naszym własnym magazynie. Zamówienia złożone i opłacone do godziny 12:00 są zazwyczaj wysyłane jeszcze tego samego dnia, a dostawa trwa 24-48h."
Jak działa klub zakupowy Westwing?,"Westwing działa jako zamknięty klub zakupowy oferujący codzienne, krótkie kampanie tematyczne z rabatami do -70%. Produkty w koszyku są rezerwowane na czas 20 minut - po tym okresie, ze względu na ograniczoną liczbę sztuk, wracają do ogólnej puli dostępnej dla innych członków klubu."
Jaki jest standardowy termin realizacji zamówień w sklepie Dekoria?,"Standardowy termin realizacji zamówień (w tym szytych na miarę rolet czy zasłon) wynosi około 5 dni roboczych, liczonych od momentu zaksięgowania wpłaty na naszym koncie bankowym."
Czy można zamówić próbki tkanin przed zakupem i ile one kosztują?,"Tak, na stronie dekoria.pl/probnik można wybrać i zamówić do 10 darmowych próbek interesujących Cię tkanin. Wysyłamy je bezpłatnie za pośrednictwem Poczty Polskiej (list zwykły), aby ułatwić dopasowanie koloru i faktury do wnętrza."
Czy zamawiając towar na firmę (faktura VAT) przysługuje mi prawo do zwrotu?,"Nie. Towar zakupiony w ramach prowadzonej działalności gospodarczej (z podaniem numeru NIP firmy) nie podlega standardowemu konsumenckiemu prawu do zwrotu bez podania przyczyny, ponieważ kupujący traci w tej sytuacji status Konsumenta."
Czy wszystkie produkty oferowane w Fabryce Form są produktami oryginalnymi?,"Tak, jesteśmy oficjalnym dystrybutorem wszystkich marek premium prezentowanych w naszym sklepie (m.in. Alessi, Stelton, Joseph Joseph). Wszystkie towary są w 100% oryginalne, fabrycznie nowe i objęte pełną gwarancją producenta."
Jak złożyć zamówienie?,"Zamówienie w sklepie internetowym sfmeble.pl możesz złożyć samodzielnie poprzez dodanie produktu do wirtualnego koszyka i wypełnienie potrzebnych danych, jak również telefonicznie u naszego konsultanta. Możesz też złożyć zamówienie drogą mailową na adres poczta@sfmeble.pl, należy jednak mieć na względzie, że nie jest to najszybsza droga, gdyż na maile odpowiadamy w kolejności chronologicznej."
Jak sprawdzić status zamówienia?,"Każdorazowo, gdy status Twojego zamówienia ulega zmianie, otrzymujesz stosowną informację drogą mailową. Możesz także skontaktować się z nami telefonicznie, pamiętaj jednak, by mieć pod ręką numer zamówienia - to ułatwi i przyspieszy pracę konsultantowi, a także zaoszczędzi Twój czas."
Jak długo czekam na realizację zamówienia?,"Zamówienia na produkty “wysyłka 24h” wysyłamy w ciągu doby od potwierdzenia (w przypadku przesyłki za pobraniem) lub od zaksięgowania przelewu na naszym koncie. Jeżeli zamawiasz produkt z dłuższą datą wysyłki (2-4 tygodnie lub inna data), oznacza to, że produktu nie posiadamy w magazynie - jest on dostępny tylko na zamówienie od producenta. Producenci mają zróżnicowane terminy dostaw, dodatkowo w przypadku niektórych produktów należy liczyć się z tym, że wskazana przez producenta data, to termin orientacyjny, który może ulec wydłużeniu, należy się zatem przygotować na dłuższy czas oczekiwania. Jest to związane z szeroką, międzynarodową siecią odbiorców i stanami magazynowymi producentów, które w związku z tym potrafią zmieniać się z godziny na godzinę. Dlatego w celu otrzymania swojego wymarzonego mebla w podanym terminie, musisz złożyć na niego zamówienie i “zarezerwować” go dla siebie. Gdy zamówione produkty przyjadą w dostawie, poinformujemy Cię telefonicznie o dacie wysyłki, a drogą mailową otrzymasz numer przesyłki."
Jak anulować zamówienie?,"Możesz anulować zamówienie przed wysyłką. W takiej sytuacji skontaktuj się z naszą Infolinią telefonicznie, mailowo lub poprzez chat. Mam problem z logowaniem się do swojego konta/zapomniałem hasła? Jeśli nie pamiętasz hasła, skorzystaj z opcji jego zresetowania, dostępnej w panelu do logowania. Dzięki temu łatwo i szybko ustalisz nowe hasło, a następnie przy jego pomocy bez problemu zalogujesz się na swoje dotychczasowe konto klienta."
Jak pielęgnować zakupione meble?,"W celu zapewnienia długotrwałego korzystania z zakupionego produktu, przygotowaliśmy dla Państwa krótką instrukcję oraz kilka przydatnych wskazówek dotyczących pielęgnacji mebli. W razie jakichkolwiek pytań, nasi konsultanci udzielą Państwu dodatkowych informacji.Meble oferowane w naszym sklepie powinny być użytkowane zgodnie z ich przeznaczeniem, w pomieszczeniach mieszkalnych zabezpieczonych przed działaniem czynników atmosferycznych. Sprzedawca nie gwarantuje jakości oraz trwałości mebli użytkowanych w pomieszczeniach użyteczności publicznej, a także wykorzystywanych w celach komercyjnych i związanym z tym zwiększonym poziomem użytkowania. Sposób wykonania produktów oraz przeprowadzone testy jakościowe nie uwzględniają zwiększonej odporności wykorzystania, wykraczającej poza użytek domowy. Informacja o możliwości wykorzystania produktu w pomieszczeniach użyteczności publicznej oraz komercyjnych każdorazowo podawana jest na stronie internetowej w opisie lub nazwie produktu."
KTO MA DOSTĘP DO MOICH DANYCH OSOBOWYCH?,"Udostępniane przez Ciebie dane osobowe wykorzystywane są wyłącznie w celu realizacji Twojego zamówienia. Nie przekazujemy Twoich danych, nie sprzedajemy ich ani nie wymieniamy się nimi w celach marketingowych z innymi podmiotami. Dane przekazywane podmiotom zewnętrznym są używane wyłącznie do świadczenia Ci naszych usług (dotyczy to m.in. firm kurierskich realizujących dostawy do klientów). Wszyscy pracownicy naszego sklepu zostali odpowiednio przeszkoleni w zakresie przetwarzania danych osobowych, zgodnie z obowiązującym rozporządzeniem o ochronie danych osobowych (RODO). Szczegółowe informacje na ten temat znajdziesz w naszej polityce prywatności."
JAKIE KORZYŚCI OFERUJE NEWSLETTER?,"Dzięki subskrypcji newslettera jako pierwszy dowiesz się o nowych akcjach promocyjnych i przedsprzedażach, jak również sezonowych wyprzedażach magazynu. Część organizowanych akcji promocyjnych adresowanych jest wyłącznie do subskrybentów. W naszych newsletterach znajdziesz także nowinki dotyczące topowych trendów oraz poradniki, które ułatwią Ci samodzielne zaplanowanie wystroju wnętrz. W każdym momencie możesz również zrezygnować z subskrypcji."
Czy można gdzieś zobaczyć meble przed dostawą/usiąść na nich?,"Niestety, nie posiadamy stacjonarnych salonów sprzedaży."
"Czy jest możliwość modyfikacji mebla (zmiana wymiarów, koloru)?","Niestety, nie produkujemy mebli na wymiar. W wybranych modelach mebli można konfigurować dostępne parametry."
Gdzie znajdę instrukcję montażu?,"Instrukcje montażu naszych mebli otrzymasz w smsie informującym o etapie realizacji Twojego zamówienia. Znajdziesz je też na stronie naszego sklepu, w produktach w zakładce Instrukcje."
Jakie są wymiary paczek?,"Wymiary paczek zależne są od wybranego mebla. Jeśli potrzebujesz takiej informacji, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
Mebel będzie dostarczany w całości czy paczkach do samodzielnego montażu?,"To zależy od wybranego mebla: meble dostarczane są w całości (wybrane sofy, fotele) lub w paczkach do samodzielnego montażu. O szczegółach dowiesz się, kontaktując się z naszym BOK (skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
Jak mogę określić stronę mebla?,"Stronę mebla należy określić, stojąc na wprost mebla. Jeśli wystająca część mebla jest po prawej stronie, wtedy narożnik jest prawostronny. Jeśli jest po lewej stronie - narożnik jest lewostronny."
Jakie wypełnienie jest bardziej komfortowe?,"""Do wyboru masz wypełnienie piankowe lub sprężyny bonell. Jednym z najczęściej stosowanych wypełnień w branży meblarskiej jest wypełnienie piankowe. Wykorzystywana przez nas pianka to pianka poliuretanowa T30. Wypełnienie to charakteryzuje się jednak ograniczoną odpornością na wygniatanie. Jeśli wiesz, że mebel, który kupujesz będzie intensywnie użytkowany, zalecamy wybór wypełnienia sprężynowego typu bonell. Sprężyny bonell charakteryzują się elastycznością i zdolnością do dopasowania się do kształtu ciała. Zapewniają równomierne wsparcie dla różnych stref ciała, co przekłada się na wyższy poziom komfortu podczas siedzenia lub leżenia. Są też odporne na odkształcenia. Dzięki temu mebel będzie służył przez długi czas, zachowując swój pierwotny kształt i wygodę. Dodatkowo sprężyny bonell charakteryzują się otwartą strukturą, co sprzyja lepszej cyrkulacji powietrza wewnątrz mebla."
"Co to znaczy, że narożnik jest uniwersalny?","Narożnik uniwersalny to produkt, którego stronę określasz podczas pierwszego montażu. To Ty decydujesz, która strona mebla wpasuje się w Twoją przestrzeń. Jednak po dokonaniu pierwszego montażu mebel będzie już posiadał otwory, których nie można usunąć."
Jaki jest okres gwarancji?,Dajemy naszym Klientom 24 miesiące gwarancji na kupowane meble.
Jak zostaną zwrócone moje środki?,"Zależnie od sposobu, w jaki dokonana została płatność: pobranie - zwrot gotówki, płatność przelewem - zwrot na konto."
Jak długo trzeba czekać na zwrot środków?,"Zwrot środków nastąpi po powrocie mebla do siedziby firmy (zwykle następuje to w ciągu 7-10 dni). Jeśli masz jakieś wątpliwości, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
Czy mogę zwrócić produkt?,"Oczywiście, w naszym sklepie masz 30 dni na zwrot produktu. W pierwszej kolejności poinformuj nas o chęci odstąpienia od umowy zakupu poprzez wiadomość e-mail na adres kontakt@mebligo.pl. Po otrzymaniu wiadomości odpiszemy najszybciej jak to możliwe, a dział logistyki rozpocznie planowanie terminu odbioru mebla. Jeśli masz jakieś wątpliwości, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
Jak przygotować mebel do zwrotu?,"Jeśli zdecydowałeś/aś się na zwrot mebla, bardzo prosimy o odpowiednie przygotowanie go do transportu i zabezpieczenie mebla np. poprzez owinięcie go folią stretch. Prosimy również o wydanie produktu lub np. elementów przeznaczonych do zwrotu kierowcy w dniu zaplanowanego odbioru. Kierowca odbierze mebel przed budynkiem."
"Czy mogę liczyć na pomoc w zamówieniu transportu, którym odeślę zwracane przeze mnie meble?","Tak. Odbieramy od naszych klientów zwracane meble. Jeśli masz jakieś pytania lub wątpliwości - skontaktuj się z nami: (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
"Jak zapakować produkt, który chcę zwrócić?",Najpierw należy rozmontować mebel do początkowego kształtu. Przygotowane elementy należy owinąć np. folią stretch i odpowiednio zabezpieczyć kartonem.
Czy mogę zwrócić materac?,"To zależy od czasu użytkowania. Takie przypadki rozpatrywane są indywidualnie. Prosimy o kontakt z BOK (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
Ile mam czasu na zgłoszenie chęci zwrotu mebla?,Nasi Klienci mają 30 dni na zwrot mebla.
W jaki sposób mogę zareklamować mebel?,"Jeśli chcesz złożyć reklamację na zakupiony produkt, napisz do nas wiadomość na adres kontakt@mebligo.pl. Pamiętaj o dołączeniu w wiadomości opisu reklamowanego produktu oraz dokładnych i wyraźnych zdjęć uszkodzeń (zrób zdjęcia z bliska i z daleka). Staramy się odpowiadać na zgłoszenia reklamacyjne najszybciej jak to możliwe. W każdej chwili możesz się z nami skontaktować (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
Jak przygotować mebel do reklamacji?,W momencie reklamacji lub zwrotu prosimy o odpowiednie przygotowanie całego produktu lub reklamowanych elementów oraz właściwe zabezpieczenie ich np. folią stretch i kartonem. Prosimy również o wydanie produktu/elementów kierowcy w dniu odbioru. Kierowca nie odbiera mebli / elementów z domu/mieszkania.
Otrzymany przeze mnie produkt jest uszkodzony – co mam zrobić?,Prosimy o złożenie reklamacji poprzez wysłanie wiadomości e-mail z opisem uszkodzenia na: kontakt@mebligo.pl. Odpowiemy na wiadomość tak szybko jak to możliwe.
Czy na czas realizacji zgłoszenia mogę zmontować mebel i z niego korzystać?,"Tak, możesz używać mebla."
W moim zamówieniu brakuje elementów – co mam zrobić?,"Zweryfikuj najpierw w instrukcji montażu, czego potrzebujesz. Sprawdź następnie, czy paczki montażowe lub poduszki znajdują się w skrzyni / pojemniku na pościel. Jeśli nie znalazłeś niezbędnych elementów, skontaktuj się z naszym BOK (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044)."
Czy oferujemy transport z wniesieniem mebli do mieszkania lub domu?,"Tak, oferujemy możliwość dokupienia usługi wniesienia mebli do mieszkania lub domu. Koszt usługi doliczany jest do standardowej opłaty za transport, której wysokość można sprawdzić w koszyku podczas składania zamówienia."
Ile się czeka na dostawę?,Dostawę realizujemy do 10 dni roboczych.
Czy dostarczamy na teren całego kraju?,"Tak, nasze produkty dostarczamy do Klientów na terenie całego kraju."
Kiedy odbędzie się dostawa? Jaki jest status realizacji mojego zamówienia?,Po wyznaczeniu terminu dostawy otrzymasz od nas link z niezbędnymi informacjami.
Czy można zmienić termin/godziny dostawy?,"Jeśli zaproponowany termin dostawy Państwu nie odpowiada, proponujemy nowy termin. Może to jednak wydłużyć proces dostawy, a wyznaczenie nowego terminu może potrwać do 10 dni roboczych (od daty wyznaczonej za pierwszym razem)."
Czy istnieje możliwość wybrania dnia i godziny dostawy?,"Niestety, nie ma możliwości wybrania dnia i godziny dostarczenia zamówienia. Do 3 dni przed przyjazdem spedycja poinformuje Cię o planowanym dniu i przedziale czasowym dostawy."
O której godzinie będzie kierowca z dostawą?,"O terminie informujemy klientów w smsie wysyłanym na numer telefonu podany przy zamówieniu. Wyznaczony jest 4-godzinny przedział czasowy, w którym kierowca powinien pojawić się z dostawą. Kierowca może zadzwonić np. 1 godz. przed dostawą i poinformować o przybliżonej godzinie dostawy jeśli zgłosisz taką prośbę przy składaniu zamówienia. W wyjątkowych sytuacjach możesz też skontaktować się z naszym kierowcą w dniu dostawy."
Czy zabierzemy stare meble?,"Niestety, nie oferujemy usługi recyklingu starych mebli."
Czy można odebrać zamówienie osobiście z siedziby firmy?,"Niestety, nie ma możliwości odbioru osobistego w siedzibie firmy."
Czy mebel pakowany jest w paczkach?,"Większość oferowanych produktów dostarczamy w kilku elementach do samodzielnego montażu. Ilość paczek zależna jest od kategorii oraz modelu, który został wybrany."
"Czy zostanę poinformowany, kiedy i w jakich godzinach zostaną dostarczone zamówione przeze mnie meble?","Ok. 3-4 dni przed planowaną dostawą Klient otrzymuje od nas wiadomość sms o dniu dostawy. Podajemy 4-godzinny przedział czasowy, w którym mebel powinien zostać dostarczony. Prosimy też o kliknięcie linku i potwierdzenie terminu."
Czy można płacić w ratach?,"Tak, przy płatności dostępne są informacje o płatnościach ratalnych."
Jak dokonać zakupów na raty?,"Wszystkie informacje otrzymasz w banku, z którego oferty chcą Państwo skorzystać."
Jakie są metody płatności?,"BLIK, Przelewy24, raty (Santander - Przelewy24), płatność przy odbiorze."
Link do płatności nie działa – co robić? Czy muszę składać zamówienie od nowa?,"Zamówienie do nas dociera, jednak nie jest opłacone. Jeśli zauważysz, że płatność nie powiodła się, prosimy wybrać inną formę płatności, skontaktować się z bankiem lub z BOK."
Kiedy otrzymam dokument sprzedaży za moje zamówienie?,Paragon zostaje wysłany drogą elektroniczną (przy płatności elektronicznej wysyłamy go od razu po opłaceniu zamówienia; przy pobraniu - po dostarczeniu mebla).
Chciałbym otrzymać fakturę VAT za zakupiony towar – w jaki sposób mogę ją uzyskać?,"Jeśli przy składaniu zamówienia podasz podane poprawne dane, w tym NIP - wystawimy fakturę (otrzymasz ją przy płatności elektronicznej od razu po opłaceniu zamówienia; przy pobraniu - po dostarczeniu mebla)."
Czy przy płatności pobraniowej mogę płacić kartą?,"Tak, nasi kierowcy posiadają terminale. Poinformuj nas jednak wcześniej o chęci płatności kartą przy odbiorze."
Jak złożyć zamówienie,"W sklepie internetowym: Aby złożyć zamówienie w naszym sklepie, wybierz interesujący Cię produkt oraz jego parametry (kolor, stronę, rodzaj tkaniny, wypełnienie, itp.) zgodnie z Twoimi oczekiwaniami. Następnie dodaj produkt do koszyka. Uzupełnij dane adresowe i zaznacz sposób dostawy, jaki preferujesz. Wybierz najwygodniejszą formę płatności oraz w odpowiednim miejscu potwierdź akceptację regulaminu sklepu. Przed kliknięciem “POTWIERDŹ ZAKUP” upewnij się, czy wszystko się zgadza. Gotowe! Twój mebel w ciągu 10 dni roboczych trafi do Ciebie. lub Telefonicznie: Przygotuj nazwę mebla oraz niezbędne informacje (kolor, wypełnienie, kolor nóżek, system rozkładania, którym jesteś zainteresowany). Będziesz również poproszony o podanie wszystkich danych osobowych (imię, nazwisko, adres, nr tel oraz adres mailowy). Wszystko to możesz podać w czasie rozmowy telefonicznej z naszym konsultantem, który przyjmie Twoje zamówienie (telefon: +48 455 455 044)."
Jak mogę anulować zamówienie ?,"Aby anulować złożone zamówienie, napisz do nas wiadomość na adres kontakt@mebligo.pl lub zadzwoń na numer +48 455 455 044."
Czy mogę zmodyfikować moje zamówienie i np. dodać do niego produkty?,"Nie. Raz złożonego zamówienia nie możesz modyfikować. Możesz np. anulować pierwsze zamówienie, a następnie złożyć kolejne zamówienie. Wszystkie wątpliwości rozwieją nasi konsultanci z BOK."
"Skąd dowiem się, jaki jest stan realizacji mojego zamówienia?",Po wyznaczeniu terminu dostawy otrzymasz sms ze wszystkimi informacjami.
Ile wynosi czas realizacji zamówienia?,Twoje meble dotrą do Ciebie w ciągu 10 dni roboczych.
