sklep_marka;domowy_url;kat_a;kat_b;pytanie;odpowiedz
COM40;https://com40.pl;Współpraca i Produkcja;;Czy COM40 prowadzi sprzedaż detaliczną dla klientów indywidualnych?;COM40 jest jednym z największych producentów mebli tapicerowanych w Polsce, skupiającym się na masowej produkcji kontraktowej (B2B) dla globalnych marek. Nie prowadzimy bezpośredniego sklepu detalicznego dla klientów indywidualnych.
Nowy Styl;https://nowystyl.com/pl;Współpraca B2B;;Czy Nowy Styl nawiązuje współpracę z dostawcami na podstawie umowy czy dokumentu zamówienia?;W przypadku długoterminowej współpracy preferujemy podpisanie umowy ramowej, chociaż nie wykluczamy możliwości współpracy opierającej się wyłącznie na dokumentach zamówienia.
Nowy Styl;https://nowystyl.com/pl;Kontrola Jakości;;Jak wygląda proces akceptacji jakościowej nowych komponentów od dostawców?;Po pozytywnej ocenie dostawcy kupiec składa zamówienie na partię próbną wraz z wymaganą dokumentacją techniczną. W przypadku pozytywnego wyniku testów laboratoryjnych i montażowych, Nowy Styl składa zamówienie na partię z produkcji seryjnej.
SITS;https://sits.eu;Pielęgnacja mebli;;Czy pokrowce mebli SITS można prać w pralce?;To zależy od wybranego rodzaju tkaniny. Wiele modeli SITS oferuje opcję luźnego pokrowca (loose cover), który można zdjąć. Przed praniem należy bezwzględnie sprawdzić etykietę konserwacyjną - niektóre tkaniny wymagają wyłącznie prania chemicznego.
MIRJAN24;https://mirjan24.pl;Proces zakupowy;;Jak złożyć zamówienie w sklepie internetowym?;Wybierz produkt z oferty, określ jego parametry (rozmiar, kolor, rodzaj, ilość) i kliknij „Dodaj do koszyka”. W koszyku podaj swój adres, wybierz metodę dostawy oraz płatności i zatwierdź zamówienie. Otrzymasz e-mail potwierdzający.
MIRJAN24;https://mirjan24.pl;Metody płatności;;Jak mogę dokonać płatności za zamówienie?;Udostępniamy płatność gotówką przy odbiorze (nasi kurierzy przyjmują też płatności zbliżeniowo i BLIKiem), tradycyjny przelew, szybkie płatności online, BLIK, ApplePay, GooglePay, płatności odroczone (Twisto, PayPo) oraz system ratalny.
MIRJAN24;https://mirjan24.pl;Zakupy na raty;;Jak dokonać zakupów na raty?;Sprzedaż ratalną realizujemy online za pośrednictwem Santander Consumer Bank, Credit Agricole, PayU Raty lub Przelewy24. Wszystkie formalności i weryfikacja zdolności kredytowej odbywają się przez internet, bez wychodzenia z domu.
MIRJAN24;https://mirjan24.pl;Rabaty i Promocje;;Czy sklep oferuje dodatkowe zniżki dla klientów?;Tak, za zapis do newslettera przyznajemy 3% zniżki na zakupy. Klienci, którzy dokonali już u nas zakupów, otrzymują kod rabatowy 5% na kolejne zamówienie. Dodatkowo stałe promocje znajdują się w dedykowanej sekcji na stronie.
BODZIO Meble;https://bodzio.pl;Porady aranżacyjne;;Jakie sprzęty AGD dobrać do małej kuchni w bloku?;Do małej kuchni najlepiej wybrać kompaktowe sprzęty AGD: wąską zmywarkę (45 cm), płytę indukcyjną dwupalnikową oraz piekarnik z wbudowaną funkcją mikrofali, co pozwala zaoszczędzić cenną przestrzeń na blatach roboczych.
BODZIO Meble;https://bodzio.pl;Projektowanie wnętrz;;Czy warto zdecydować się na aneks kuchenny połączony z salonem?;Tak, w małych mieszkaniach połączenie kuchni z salonem pozwala na optyczne powiększenie przestrzeni mieszkalnej i lepsze doświetlenie pomieszczenia, otwierając strefę dzienną domowników.
KLER;https://kler.eu;Zamówienia indywidualne;;Czy meble Kler można spersonalizować pod kątem wymiarów?;Marka Kler oferuje bardzo szerokie możliwości personalizacji modułowej. Wiele kolekcji pozwala na dobór układu elementów, rodzaju i koloru skóry lub tkaniny premium, a także funkcji dodatkowych (np. elektryczne sensory relaksu), jednak wymiary poszczególnych modułów są zdefiniowane technologicznie.
Home&You;https://home-you.com;Zamówienia Marketplace;;Czy produkty oferowane przez Partnerów Marketplace można odebrać w salonie stacjonarnym?;Nie. Produkty oznaczone jako oferta od Sprzedawców Marketplace nie stanowią asortymentu własnego home&you, dlatego ich dostawa do salonów stacjonarnych nie jest możliwa. Nie można ich również opłacić kartą podarunkową home&you.
Home&You;https://home-you.com;Karty podarunkowe;;Gdzie sprawdzę saldo i ważność mojej karty podarunkowej?;Saldo oraz datę ważności karty (ważna 12 miesięcy od końca miesiąca wydania) można sprawdzić na stronie internetowej w sekcji Karta podarunkowa -> Saldo karty, podając jej numer i kod PIN, bądź bezpośrednio przy kasie w dowolnym salonie stacjonarnym.
DUKA;https://duka.com;Reklamacje;;Co podlega reklamacji i jakich dokumentów potrzebuję?;Reklamacji podlegają m.in. uszkodzenia transportowe, rysy, pęknięcia, nieszczelności urządzeń AGD lub niezgodność z opisem. Wymagany jest dowód zakupu (paragon/faktura lub potwierdzenie płatności kartą/numer zamówienia), dokładny opis wady oraz zdjęcia dokumentujące problem wysłane przez formularz online.
DUKA;https://duka.com;Zwroty towaru;;Jak poprawnie przygotować i odesłać zwrot do DUKA?;Towar musi być nieużywany i w oryginalnym opakowaniu. Można skorzystać z portalu Wygodne Zwroty, gdzie wypełnia się formularz online i nadaje paczkę w wybranym punkcie (np. Paczkomat, Żabka) bez konieczności drukowania etykiety. Zwrot środków następuje do 14 dni.
Eurofirany;https://eurofirany.com.pl;Usługi krawieckie;;Czy oferują Państwo szycie firan i zasłon na wymiar?;Tak, Eurofirany posiadają profesjonalne pracownie krawieckie. Zamówienie na szycie miarowe można złożyć w salonach stacjonarnych lub za pomocą konfiguratora szycia online na naszej stronie, wybierając rodzaj wykończenia (taśma, przelotki, fleksy) oraz dokładne wymiary.
Maxfliz;https://maxfliz.pl;Obsługa Klienta i Projektowanie;;Czy w Maxfliz mogę zamówić kompleksowy projekt wnętrza?;Tak, Maxfliz współpracuje z szerokim gronem architektów wnętrz i oferuje usługę profesjonalnego doradztwa projektowego przy zakupie materiałów wykończeniowych, płytek, armatury łazienkowej oraz mebli w naszych salonach handlowych.
KOMFORT;https://komfort.pl;Konto użytkownika;;Czy muszę zakładać konto, aby dokonać zakupu w sklepie Komfort?;Nie, zakupy można zrobić bez rejestracji jako gość. Założenie darmowego konta daje jednak korzyści w postaci śledzenia statusu zamówienia, wglądu w pełną historię zakupów oraz przyspiesza realizację kolejnych transakcji.
KOMFORT;https://komfort.pl;Modyfikacja zamówienia;;Czy mogę zmienić lub anulować złożone zamówienie?;Do momentu opłacenia zamówienia zmiany (ilość, rodzaj towaru, adres dostawy) można wprowadzać bezpośrednio. Po opłaceniu prosimy o pilny kontakt telefoniczny z Infolinią pod numerem 42 21 44 500 w celu weryfikacji etapu realizacji przesyłki.
KOMFORT;https://komfort.pl;Dostawa i Płatności;;Jakie metody płatności są akceptowane przy dostawie do domu?;Akceptujemy przelewy online, karty płatnicze, system BLIK oraz płatności ratalne za pośrednictwem zintegrowanego operatora Przelewy24.
WestwingNow;https://westwingnow.pl;Polityka zwrotów;;Ile czasu mam na zwrot produktu zakupionego na WestwingNow?;WestwingNow oferuje wydłużone prawo do odstąpienia od umowy. Na zwrot zakupionego towaru bez podania przyczyny masz aż 100 dni od dnia otrzymania przesyłki. Towar musi być odesłany w stanie nienaruszonym.
Meble.pl;https://meble.pl;Usługi CNC i Stolarskie;;Jak zamówić formatki meblowe cięte na wymiar?;Zamówienia na formatowanie płyt, oklejanie krawędzi oraz nawiercanie otworów CNC należy składać przez wysłanie projektu na adres email: cnc@meble.pl. Preferowanymi formatami plików są rysunki techniczne DWG lub DXF.
TwojeMeble;https://twojemeble.pl;Czas realizacji;;Dlaczego produkty w jednym zamówieniu mają różne terminy dostawy?;TwojeMeble to platforma zrzeszająca produkty wielu różnych producentów. Czas realizacji zależy od dostępności towaru u konkretnego producenta. Zamówienie wysyłamy zazwyczaj w jednej zbiorczej paczce po skompletowaniu całości, chyba że ustalono inaczej.
Selsey;https://selsey.pl;Logistyka dostaw;;Czy kurier ma obowiązek wniesienia paczki z meblami do mieszkania?;Standardowo kurier ma obowiązek wniesienia przesyłki pod drzwi lokalu, jeżeli jej waga nie przekracza 30 kg. W przypadku paczek cięższych (np. duże szafy, łóżka, narożniki) kurier dostarcza przesyłkę pod budynek, chyba że podczas składania zamówienia wybrano opcję dostawy premium z usługą wniesienia.
Selsey;https://selsey.pl;Usługi dodatkowe;;Czy sklep Selsey oferuje profesjonalny montaż zamówionych mebli?;Tak, przy wybranych grupach produktów oferujemy opcjonalną usługę profesjonalnego montażu mebli. Informacja o dostępności oraz cenniku tej usługi jest zamieszczona bezpośrednio na karcie wybranego produktu.
Selsey;https://selsey.pl;Harmonogram wysyłki;;Czy istnieje możliwość celowego opóźnienia wysyłki zamówienia?;Tak, możemy opóźnić wysyłkę zamówienia na prośbę klienta o maksymalnie 20 dni kalendarzowych względem standardowego terminu. Odpowiednią informację należy wpisać w polu uwag podczas finalizacji zamówienia (nie dotyczy produktów z wysyłką 24-48h).
SFMeble;https://sfmeble.pl;Integracja systemów;;Co oznacza połączenie marek sfmeble.pl i meble.pl dla mojego zamówienia?;W związku z dołączeniem sfmeble.pl do Grupy meble.pl następuje unifikacja magazynów i procedur obsługi. Przejściowo mogą wystąpić minimalne opóźnienia w realizacji lub obsłudze zwrotów, jednak dokładamy wszelkich starań, aby usprawnić standardy zakupowe.
Meblobranie.pl;https://meblobranie.pl;Finansowanie;;Czy przy wyborze płatności ratalnej przez internet ponoszę dodatkowe koszty?;To zależy od wybranej oferty banku. W Meblobranie.pl cyklicznie udostępniamy oferty 'Raty 0%', gdzie klient nie ponosi żadnych kosztów odsetek ani prowizji. Poza okresami promocyjnymi banki oferują standardowe oprocentowanie zależne od liczby rat.
EMAKO;https://emako.pl;Wysyłka;;Jak szybko wysyłane są produkty ze sklepu Emako?;Większość asortymentu (akcesoria domowe, organizery, tekstylia) znajduje się w naszym własnym magazynie. Zamówienia złożone i opłacone do godziny 12:00 są zazwyczaj wysyłane jeszcze tego samego dnia, a dostawa trwa 24-48h.
Westwing;https://westwing.pl;Model zakupowy;;Jak działa klub zakupowy Westwing?;Westwing działa jako zamknięty klub zakupowy oferujący codzienne, krótkie kampanie tematyczne z rabatami do -70%. Produkty w koszyku są rezerwowane na czas 20 minut - po tym okresie, ze względu na ograniczoną liczbę sztuk, wracają do ogólnej puli dostępnej dla innych członków klubu.
Dekoria;https://dekoria.pl;Zamówienia i czas realizacji;;Jaki jest standardowy termin realizacji zamówień w sklepie Dekoria?;Standardowy termin realizacji zamówień (w tym szytych na miarę rolet czy zasłon) wynosi około 5 dni roboczych, liczonych od momentu zaksięgowania wpłaty na naszym koncie bankowym.
Dekoria;https://dekoria.pl;Darmowe próbki;;Czy można zamówić próbki tkanin przed zakupem i ile one kosztują?;Tak, na stronie dekoria.pl/probnik można wybrać i zamówić do 10 darmowych próbek interesujących Cię tkanin. Wysyłamy je bezpłatnie za pośrednictwem Poczty Polskiej (list zwykły), aby ułatwić dopasowanie koloru i faktury do wnętrza.
Dekoria;https://dekoria.pl;Faktury i prawo do zwrotu;;Czy zamawiając towar na firmę (faktura VAT) przysługuje mi prawo do zwrotu?;Nie. Towar zakupiony w ramach prowadzonej działalności gospodarczej (z podaniem numeru NIP firmy) nie podlega standardowemu konsumenckiemu prawu do zwrotu bez podania przyczyny, ponieważ kupujący traci w tej sytuacji status Konsumenta.
Fabryka Form;https://fabrykaform.pl;Oryginalność produktów;;Czy wszystkie produkty oferowane w Fabryce Form są produktami oryginalnymi?;Tak, jesteśmy oficjalnym dystrybutorem wszystkich marek premium prezentowanych w naszym sklepie (m.in. Alessi, Stelton, Joseph Joseph). Wszystkie towary są w 100% oryginalne, fabrycznie nowe i objęte pełną gwarancją producenta.
SFMeble;https://www.sfmeble.pl/i/faq;Zamówienia;;Jak złożyć zamówienie? ;Zamówienie w sklepie internetowym sfmeble.pl możesz złożyć samodzielnie poprzez dodanie produktu do wirtualnego koszyka i wypełnienie potrzebnych danych, jak również telefonicznie u naszego konsultanta. Możesz też złożyć zamówienie drogą mailową na adres poczta@sfmeble.pl, należy jednak mieć na względzie, że nie jest to najszybsza droga, gdyż na maile odpowiadamy w kolejności chronologicznej. 
SFMeble;https://www.sfmeble.pl/i/faq;Zamówienia;;Jak sprawdzić status zamówienia? ;Każdorazowo, gdy status Twojego zamówienia ulega zmianie, otrzymujesz stosowną informację drogą mailową. Możesz także skontaktować się z nami telefonicznie, pamiętaj jednak, by mieć pod ręką numer zamówienia - to ułatwi i przyspieszy pracę konsultantowi, a także zaoszczędzi Twój czas. 
SFMeble;https://www.sfmeble.pl/i/faq;Zamówienia;;Jak długo czekam na realizację zamówienia? ;Zamówienia na produkty “wysyłka 24h” wysyłamy w ciągu doby od potwierdzenia (w przypadku przesyłki za pobraniem) lub od zaksięgowania przelewu na naszym koncie. Jeżeli zamawiasz produkt z dłuższą datą wysyłki (2-4 tygodnie lub inna data), oznacza to, że produktu nie posiadamy w magazynie - jest on dostępny tylko na zamówienie od producenta. Producenci mają zróżnicowane terminy dostaw, dodatkowo w przypadku niektórych produktów należy liczyć się z tym, że wskazana przez producenta data, to termin orientacyjny, który może ulec wydłużeniu, należy się zatem przygotować na dłuższy czas oczekiwania. Jest to związane z szeroką, międzynarodową siecią odbiorców i stanami magazynowymi producentów, które w związku z tym potrafią zmieniać się z godziny na godzinę. Dlatego w celu otrzymania swojego wymarzonego mebla w podanym terminie, musisz złożyć na niego zamówienie i “zarezerwować” go dla siebie. Gdy zamówione produkty przyjadą w dostawie, poinformujemy Cię telefonicznie o dacie wysyłki, a drogą mailową otrzymasz numer przesyłki. 
SFMeble;https://www.sfmeble.pl/i/faq;Zamówienia;;Jak anulować zamówienie? ;Możesz anulować zamówienie przed wysyłką. W takiej sytuacji skontaktuj się z naszą Infolinią telefonicznie, mailowo lub poprzez chat. Mam problem z logowaniem się do swojego konta/zapomniałem hasła? Jeśli nie pamiętasz hasła, skorzystaj z opcji jego zresetowania, dostępnej w panelu do logowania. Dzięki temu łatwo i szybko ustalisz nowe hasło, a następnie przy jego pomocy bez problemu zalogujesz się na swoje dotychczasowe konto klienta. 
SFMeble;https://www.sfmeble.pl/i/faq;Pielęgnacja mebli;;Jak pielęgnować zakupione meble? ;W celu zapewnienia długotrwałego korzystania z zakupionego produktu, przygotowaliśmy dla Państwa krótką instrukcję oraz kilka przydatnych wskazówek dotyczących pielęgnacji mebli. W razie jakichkolwiek pytań, nasi konsultanci udzielą Państwu dodatkowych informacji.Meble oferowane w naszym sklepie powinny być użytkowane zgodnie z ich przeznaczeniem, w pomieszczeniach mieszkalnych zabezpieczonych przed działaniem czynników atmosferycznych. Sprzedawca nie gwarantuje jakości oraz trwałości mebli użytkowanych w pomieszczeniach użyteczności publicznej, a także wykorzystywanych w celach komercyjnych i związanym z tym zwiększonym poziomem użytkowania. Sposób wykonania produktów oraz przeprowadzone testy jakościowe nie uwzględniają zwiększonej odporności wykorzystania, wykraczającej poza użytek domowy. Informacja o możliwości wykorzystania produktu w pomieszczeniach użyteczności publicznej oraz komercyjnych każdorazowo podawana jest na stronie internetowej w opisie lub nazwie produktu.
SFMeble;https://www.sfmeble.pl/i/faq;Dane osobowe;;KTO MA DOSTĘP DO MOICH DANYCH OSOBOWYCH?;Udostępniane przez Ciebie dane osobowe wykorzystywane są wyłącznie w celu realizacji Twojego zamówienia. Nie przekazujemy Twoich danych, nie sprzedajemy ich ani nie wymieniamy się nimi w celach marketingowych z innymi podmiotami. Dane przekazywane podmiotom zewnętrznym są używane wyłącznie do świadczenia Ci naszych usług (dotyczy to m.in. firm kurierskich realizujących dostawy do klientów). Wszyscy pracownicy naszego sklepu zostali odpowiednio przeszkoleni w zakresie przetwarzania danych osobowych, zgodnie z obowiązującym rozporządzeniem o ochronie danych osobowych (RODO). Szczegółowe informacje na ten temat znajdziesz w naszej polityce prywatności. 
SFMeble;https://www.sfmeble.pl/i/faq;Newsletter;;JAKIE KORZYŚCI OFERUJE NEWSLETTER?;Dzięki subskrypcji newslettera jako pierwszy dowiesz się o nowych akcjach promocyjnych i przedsprzedażach, jak również sezonowych wyprzedażach magazynu. Część organizowanych akcji promocyjnych adresowanych jest wyłącznie do subskrybentów. W naszych newsletterach znajdziesz także nowinki dotyczące topowych trendów oraz poradniki, które ułatwią Ci samodzielne zaplanowanie wystroju wnętrz. W każdym momencie możesz również zrezygnować z subskrypcji. 
Mebligo;https://mebligo.pl;;;Czy można gdzieś zobaczyć meble przed dostawą/usiąść na nich?;Niestety, nie posiadamy stacjonarnych salonów sprzedaży.
Mebligo;https://mebligo.pl;;;Czy jest możliwość modyfikacji mebla (zmiana wymiarów, koloru)?;Niestety, nie produkujemy mebli na wymiar. W wybranych modelach mebli można konfigurować dostępne parametry.
Mebligo;https://mebligo.pl;;;Gdzie znajdę instrukcję montażu?;Instrukcje montażu naszych mebli otrzymasz w smsie informującym o etapie realizacji Twojego zamówienia. Znajdziesz je też na stronie naszego sklepu, w produktach w zakładce Instrukcje.
Mebligo;https://mebligo.pl;;;Jakie są wymiary paczek?;Wymiary paczek zależne są od wybranego mebla. Jeśli potrzebujesz takiej informacji, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Mebel będzie dostarczany w całości czy paczkach do samodzielnego montażu?;To zależy od wybranego mebla: meble dostarczane są w całości (wybrane sofy, fotele) lub w paczkach do samodzielnego montażu. O szczegółach dowiesz się, kontaktując się z naszym BOK (skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Jak mogę określić stronę mebla?;Stronę mebla należy określić, stojąc na wprost mebla. Jeśli wystająca część mebla jest po prawej stronie, wtedy narożnik jest prawostronny. Jeśli jest po lewej stronie - narożnik jest lewostronny.
Mebligo;https://mebligo.pl;;;Jakie wypełnienie jest bardziej komfortowe?;"""Do wyboru masz wypełnienie piankowe lub sprężyny bonell. Jednym z najczęściej stosowanych wypełnień w branży meblarskiej jest wypełnienie piankowe. Wykorzystywana przez nas pianka to pianka poliuretanowa T30. Wypełnienie to charakteryzuje się jednak ograniczoną odpornością na wygniatanie. Jeśli wiesz, że mebel, który kupujesz będzie intensywnie użytkowany, zalecamy wybór wypełnienia sprężynowego typu bonell. Sprężyny bonell charakteryzują się elastycznością i zdolnością do dopasowania się do kształtu ciała. Zapewniają równomierne wsparcie dla różnych stref ciała, co przekłada się na wyższy poziom komfortu podczas siedzenia lub leżenia. Są też odporne na odkształcenia. Dzięki temu mebel będzie służył przez długi czas, zachowując swój pierwotny kształt i wygodę. Dodatkowo sprężyny bonell charakteryzują się otwartą strukturą, co sprzyja lepszej cyrkulacji powietrza wewnątrz mebla."
Mebligo;https://mebligo.pl;;;Co to znaczy, że narożnik jest uniwersalny?;Narożnik uniwersalny to produkt, którego stronę określasz podczas pierwszego montażu. To Ty decydujesz, która strona mebla wpasuje się w Twoją przestrzeń. Jednak po dokonaniu pierwszego montażu mebel będzie już posiadał otwory, których nie można usunąć.
Mebligo;https://mebligo.pl;;;Jaki jest okres gwarancji?;Dajemy naszym Klientom 24 miesiące gwarancji na kupowane meble.
Mebligo;https://mebligo.pl;;;Jak zostaną zwrócone moje środki?;Zależnie od sposobu, w jaki dokonana została płatność: pobranie - zwrot gotówki, płatność przelewem - zwrot na konto.
Mebligo;https://mebligo.pl;;;Jak długo trzeba czekać na zwrot środków?;Zwrot środków nastąpi po powrocie mebla do siedziby firmy (zwykle następuje to w ciągu 7-10 dni). Jeśli masz jakieś wątpliwości, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Czy mogę zwrócić produkt?;Oczywiście, w naszym sklepie masz 30 dni na zwrot produktu. W pierwszej kolejności poinformuj nas o chęci odstąpienia od umowy zakupu poprzez wiadomość e-mail na adres kontakt@mebligo.pl. Po otrzymaniu wiadomości odpiszemy najszybciej jak to możliwe, a dział logistyki rozpocznie planowanie terminu odbioru mebla. Jeśli masz jakieś wątpliwości, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Jak przygotować mebel do zwrotu?;Jeśli zdecydowałeś/aś się na zwrot mebla, bardzo prosimy o odpowiednie przygotowanie go do transportu i zabezpieczenie mebla np. poprzez owinięcie go folią stretch. Prosimy również o wydanie produktu lub np. elementów przeznaczonych do zwrotu kierowcy w dniu zaplanowanego odbioru. Kierowca odbierze mebel przed budynkiem.
Mebligo;https://mebligo.pl;;;Czy mogę liczyć na pomoc w zamówieniu transportu, którym odeślę zwracane przeze mnie meble?;Tak. Odbieramy od naszych klientów zwracane meble. Jeśli masz jakieś pytania lub wątpliwości - skontaktuj się z nami: (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Jak zapakować produkt, który chcę zwrócić?;Najpierw należy rozmontować mebel do początkowego kształtu. Przygotowane elementy należy owinąć np. folią stretch i odpowiednio zabezpieczyć kartonem.
Mebligo;https://mebligo.pl;;;Czy mogę zwrócić materac?;To zależy od czasu użytkowania. Takie przypadki rozpatrywane są indywidualnie. Prosimy o kontakt z BOK (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Ile mam czasu na zgłoszenie chęci zwrotu mebla?;Nasi Klienci mają 30 dni na zwrot mebla.
Mebligo;https://mebligo.pl;;;W jaki sposób mogę zareklamować mebel?;Jeśli chcesz złożyć reklamację na zakupiony produkt, napisz do nas wiadomość na adres kontakt@mebligo.pl. Pamiętaj o dołączeniu w wiadomości opisu reklamowanego produktu oraz dokładnych i wyraźnych zdjęć uszkodzeń (zrób zdjęcia z bliska i z daleka). Staramy się odpowiadać na zgłoszenia reklamacyjne najszybciej jak to możliwe. W każdej chwili możesz się z nami skontaktować (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Jak przygotować mebel do reklamacji?;W momencie reklamacji lub zwrotu prosimy o odpowiednie przygotowanie całego produktu lub reklamowanych elementów oraz właściwe zabezpieczenie ich np. folią stretch i kartonem. Prosimy również o wydanie produktu/elementów kierowcy w dniu odbioru. Kierowca nie odbiera mebli / elementów z domu/mieszkania.
Mebligo;https://mebligo.pl;;;Otrzymany przeze mnie produkt jest uszkodzony – co mam zrobić?;Prosimy o złożenie reklamacji poprzez wysłanie wiadomości e-mail z opisem uszkodzenia na: kontakt@mebligo.pl. Odpowiemy na wiadomość tak szybko jak to możliwe.
Mebligo;https://mebligo.pl;;;Czy na czas realizacji zgłoszenia mogę zmontować mebel i z niego korzystać?;Tak, możesz używać mebla.
Mebligo;https://mebligo.pl;;;W moim zamówieniu brakuje elementów – co mam zrobić?;Zweryfikuj najpierw w instrukcji montażu, czego potrzebujesz. Sprawdź następnie, czy paczki montażowe lub poduszki znajdują się w skrzyni / pojemniku na pościel. Jeśli nie znalazłeś niezbędnych elementów, skontaktuj się z naszym BOK (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).
Mebligo;https://mebligo.pl;;;Czy oferujemy transport z wniesieniem mebli do mieszkania lub domu?;Tak, oferujemy możliwość dokupienia usługi wniesienia mebli do mieszkania lub domu. Koszt usługi doliczany jest do standardowej opłaty za transport, której wysokość można sprawdzić w koszyku podczas składania zamówienia.
Mebligo;https://mebligo.pl;;;Ile się czeka na dostawę?;Dostawę realizujemy do 10 dni roboczych.
Mebligo;https://mebligo.pl;;;Czy dostarczamy na teren całego kraju?;Tak, nasze produkty dostarczamy do Klientów na terenie całego kraju.
Mebligo;https://mebligo.pl;;;Kiedy odbędzie się dostawa? Jaki jest status realizacji mojego zamówienia?;Po wyznaczeniu terminu dostawy otrzymasz od nas link z niezbędnymi informacjami.
Mebligo;https://mebligo.pl;;;Czy można zmienić termin/godziny dostawy?;Jeśli zaproponowany termin dostawy Państwu nie odpowiada, proponujemy nowy termin. Może to jednak wydłużyć proces dostawy, a wyznaczenie nowego terminu może potrwać do 10 dni roboczych (od daty wyznaczonej za pierwszym razem).
Mebligo;https://mebligo.pl;;;Czy istnieje możliwość wybrania dnia i godziny dostawy?;Niestety, nie ma możliwości wybrania dnia i godziny dostarczenia zamówienia. Do 3 dni przed przyjazdem spedycja poinformuje Cię o planowanym dniu i przedziale czasowym dostawy.
