shop,source_url,question,answer,question_index,panel_id,position
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak przygotować mebel do zwrotu?,"Jeśli zdecydowałeś/aś się na zwrot mebla, bardzo prosimy o odpowiednie przygotowanie go do transportu i zabezpieczenie mebla np. poprzez owinięcie go folią stretch. Prosimy również o wydanie produktu lub np. elementów przeznaczonych do zwrotu kierowcy w dniu zaplanowanego odbioru. Kierowca odbierze mebel przed budynkiem.",13,ac-12,accordion[13]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,"Czy mogę liczyć na pomoc w zamówieniu transportu, którym odeślę zwracane przeze mnie meble?","Tak. Odbieramy od naszych klientów zwracane meble. Jeśli masz jakieś pytania lub wątpliwości - skontaktuj się z nami: (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",14,ac-13,accordion[14]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,"Jak zapakować produkt, który chcę zwrócić?",Najpierw należy rozmontować mebel do początkowego kształtu. Przygotowane elementy należy owinąć np. folią stretch i odpowiednio zabezpieczyć kartonem.,15,ac-14,accordion[15]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy mogę zwrócić materac?,"To zależy od czasu użytkowania. Takie przypadki rozpatrywane są indywidualnie. Prosimy o kontakt z BOK (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",16,ac-15,accordion[16]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Ile mam czasu na zgłoszenie chęci zwrotu mebla?,Nasi Klienci mają 30 dni na zwrot mebla.,17,ac-16,accordion[17]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,W jaki sposób mogę zareklamować mebel?,"Jeśli chcesz złożyć reklamację na zakupiony produkt, napisz do nas wiadomość na adres kontakt@mebligo.pl. Pamiętaj o dołączeniu w wiadomości opisu reklamowanego produktu oraz dokładnych i wyraźnych zdjęć uszkodzeń (zrób zdjęcia z bliska i z daleka). Staramy się odpowiadać na zgłoszenia reklamacyjne najszybciej jak to możliwe. W każdej chwili możesz się z nami skontaktować (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",18,ac-17,accordion[18]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak przygotować mebel do reklamacji?,W momencie reklamacji lub zwrotu prosimy o odpowiednie przygotowanie całego produktu lub reklamowanych elementów oraz właściwe zabezpieczenie ich np. folią stretch i kartonem. Prosimy również o wydanie produktu/elementów kierowcy w dniu odbioru. Kierowca nie odbiera mebli / elementów z domu/mieszkania.,19,ac-18,accordion[19]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Otrzymany przeze mnie produkt jest uszkodzony – co mam zrobić?,Prosimy o złożenie reklamacji poprzez wysłanie wiadomości e-mail z opisem uszkodzenia na: kontakt@mebligo.pl. Odpowiemy na wiadomość tak szybko jak to możliwe.,20,ac-19,accordion[20]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy na czas realizacji zgłoszenia mogę zmontować mebel i z niego korzystać?,"Tak, możesz używać mebla.",21,ac-20,accordion[21]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,W moim zamówieniu brakuje elementów – co mam zrobić?,"Zweryfikuj najpierw w instrukcji montażu, czego potrzebujesz. Sprawdź następnie, czy paczki montażowe lub poduszki znajdują się w skrzyni / pojemniku na pościel. Jeśli nie znalazłeś niezbędnych elementów, skontaktuj się z naszym BOK (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",22,ac-21,accordion[22]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy oferujemy transport z wniesieniem mebli do mieszkania lub domu?,"Tak, oferujemy możliwość dokupienia usługi wniesienia mebli do mieszkania lub domu. Koszt usługi doliczany jest do standardowej opłaty za transport, której wysokość można sprawdzić w koszyku podczas składania zamówienia.",23,ac-22,accordion[23]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Ile się czeka na dostawę?,Dostawę realizujemy do 10 dni roboczych.,24,ac-23,accordion[24]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy dostarczamy na teren całego kraju?,"Tak, nasze produkty dostarczamy do Klientów na terenie całego kraju.",25,ac-24,accordion[25]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Kiedy odbędzie się dostawa? Jaki jest status realizacji mojego zamówienia?,Po wyznaczeniu terminu dostawy otrzymasz od nas link z niezbędnymi informacjami.,26,ac-25,accordion[26]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy można zmienić termin/godziny dostawy?,"Jeśli zaproponowany termin dostawy Państwu nie odpowiada, proponujemy nowy termin. Może to jednak wydłużyć proces dostawy, a wyznaczenie nowego terminu może potrwać do 10 dni roboczych (od daty wyznaczonej za pierwszym razem).",27,ac-26,accordion[27]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy istnieje możliwość wybrania dnia i godziny dostawy?,"Niestety, nie ma możliwości wybrania dnia i godziny dostarczenia zamówienia. Do 3 dni przed przyjazdem spedycja poinformuje Cię o planowanym dniu i przedziale czasowym dostawy.",28,ac-27,accordion[28]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,O której godzinie będzie kierowca z dostawą?,"O terminie informujemy klientów w smsie wysyłanym na numer telefonu podany przy zamówieniu. Wyznaczony jest 4-godzinny przedział czasowy, w którym kierowca powinien pojawić się z dostawą. Kierowca może zadzwonić np. 1 godz. przed dostawą i poinformować o przybliżonej godzinie dostawy jeśli zgłosisz taką prośbę przy składaniu zamówienia. W wyjątkowych sytuacjach możesz też skontaktować się z naszym kierowcą w dniu dostawy.",29,ac-28,accordion[29]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy zabierzemy stare meble?,"Niestety, nie oferujemy usługi recyklingu starych mebli.",30,ac-29,accordion[30]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy można odebrać zamówienie osobiście z siedziby firmy?,"Niestety, nie ma możliwości odbioru osobistego w siedzibie firmy.",31,ac-30,accordion[31]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy mebel pakowany jest w paczkach?,"Większość oferowanych produktów dostarczamy w kilku elementach do samodzielnego montażu. Ilość paczek zależna jest od kategorii oraz modelu, który został wybrany.",32,ac-31,accordion[32]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,"Czy zostanę poinformowany, kiedy i w jakich godzinach zostaną dostarczone zamówione przeze mnie meble?","Ok. 3-4 dni przed planowaną dostawą Klient otrzymuje od nas wiadomość sms o dniu dostawy. Podajemy 4-godzinny przedział czasowy, w którym mebel powinien zostać dostarczony. Prosimy też o kliknięcie linku i potwierdzenie terminu.",33,ac-32,accordion[33]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy można płacić w ratach?,"Tak, przy płatności dostępne są informacje o płatnościach ratalnych.",34,ac-33,accordion[34]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak dokonać zakupów na raty?,"Wszystkie informacje otrzymasz w banku, z którego oferty chcą Państwo skorzystać.",35,ac-34,accordion[35]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jakie są metody płatności?,"BLIK, Przelewy24, raty (Santander - Przelewy24), płatność przy odbiorze.",36,ac-35,accordion[36]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Link do płatności nie działa – co robić? Czy muszę składać zamówienie od nowa?,"Zamówienie do nas dociera, jednak nie jest opłacone. Jeśli zauważysz, że płatność nie powiodła się, prosimy wybrać inną formę płatności, skontaktować się z bankiem lub z BOK.",37,ac-36,accordion[37]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Kiedy otrzymam dokument sprzedaży za moje zamówienie?,Paragon zostaje wysłany drogą elektroniczną (przy płatności elektronicznej wysyłamy go od razu po opłaceniu zamówienia; przy pobraniu - po dostarczeniu mebla).,38,ac-37,accordion[38]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Chciałbym otrzymać fakturę VAT za zakupiony towar – w jaki sposób mogę ją uzyskać?,"Jeśli przy składaniu zamówienia podasz podane poprawne dane, w tym NIP - wystawimy fakturę (otrzymasz ją przy płatności elektronicznej od razu po opłaceniu zamówienia; przy pobraniu - po dostarczeniu mebla).",39,ac-38,accordion[39]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy przy płatności pobraniowej mogę płacić kartą?,"Tak, nasi kierowcy posiadają terminale. Poinformuj nas jednak wcześniej o chęci płatności kartą przy odbiorze.",40,ac-39,accordion[40]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak złożyć zamówienie,"W sklepie internetowym: Aby złożyć zamówienie w naszym sklepie, wybierz interesujący Cię produkt oraz jego parametry (kolor, stronę, rodzaj tkaniny, wypełnienie, itp.) zgodnie z Twoimi oczekiwaniami. Następnie dodaj produkt do koszyka. Uzupełnij dane adresowe i zaznacz sposób dostawy, jaki preferujesz. Wybierz najwygodniejszą formę płatności oraz w odpowiednim miejscu potwierdź akceptację regulaminu sklepu. Przed kliknięciem “POTWIERDŹ ZAKUP” upewnij się, czy wszystko się zgadza. Gotowe! Twój mebel w ciągu 10 dni roboczych trafi do Ciebie. lub Telefonicznie: Przygotuj nazwę mebla oraz niezbędne informacje (kolor, wypełnienie, kolor nóżek, system rozkładania, którym jesteś zainteresowany). Będziesz również poproszony o podanie wszystkich danych osobowych (imię, nazwisko, adres, nr tel oraz adres mailowy). Wszystko to możesz podać w czasie rozmowy telefonicznej z naszym konsultantem, który przyjmie Twoje zamówienie (telefon: +48 455 455 044).",41,ac-40,accordion[41]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak mogę anulować zamówienie ?,"Aby anulować złożone zamówienie, napisz do nas wiadomość na adres kontakt@mebligo.pl lub zadzwoń na numer +48 455 455 044.",42,ac-41,accordion[42]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy mogę zmodyfikować moje zamówienie i np. dodać do niego produkty?,"Nie. Raz złożonego zamówienia nie możesz modyfikować. Możesz np. anulować pierwsze zamówienie, a następnie złożyć kolejne zamówienie. Wszystkie wątpliwości rozwieją nasi konsultanci z BOK.",43,ac-42,accordion[43]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,"Skąd dowiem się, jaki jest stan realizacji mojego zamówienia?",Po wyznaczeniu terminu dostawy otrzymasz sms ze wszystkimi informacjami.,44,ac-43,accordion[44]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Ile wynosi czas realizacji zamówienia?,Twoje meble dotrą do Ciebie w ciągu 10 dni roboczych.,45,ac-44,accordion[45]
