Sklep / Marka;Oryginalny URL;Kategoria;Pytanie;Odpowiedź
COM40;https://com40.pl;Współpraca i Produkcja;Czy COM40 prowadzi sprzedaż detaliczną dla klientów indywidualnych?;COM40 jest jednym z największych producentów mebli tapicerowanych w Polsce, skupiającym się na masowej produkcji kontraktowej (B2B) dla globalnych marek. Nie prowadzimy bezpośredniego sklepu detalicznego dla klientów indywidualnych.
Nowy Styl;https://nowystyl.com/pl;Współpraca B2B;Czy Nowy Styl nawiązuje współpracę z dostawcami na podstawie umowy czy dokumentu zamówienia?;W przypadku długoterminowej współpracy preferujemy podpisanie umowy ramowej, chociaż nie wykluczamy możliwości współpracy opierającej się wyłącznie na dokumentach zamówienia.
Nowy Styl;https://nowystyl.com/pl;Kontrola Jakości;Jak wygląda proces akceptacji jakościowej nowych komponentów od dostawców?;Po pozytywnej ocenie dostawcy kupiec składa zamówienie na partię próbną wraz z wymaganą dokumentacją techniczną. W przypadku pozytywnego wyniku testów laboratoryjnych i montażowych, Nowy Styl składa zamówienie na partię z produkcji seryjnej.
SITS;https://sits.eu;Pielęgnacja mebli;Czy pokrowce mebli SITS można prać w pralce?;To zależy od wybranego rodzaju tkaniny. Wiele modeli SITS oferuje opcję luźnego pokrowca (loose cover), który można zdjąć. Przed praniem należy bezwzględnie sprawdzić etykietę konserwacyjną - niektóre tkaniny wymagają wyłącznie prania chemicznego.
MIRJAN24;https://mirjan24.pl;Proces zakupowy;Jak złożyć zamówienie w sklepie internetowym?;Wybierz produkt z oferty, określ jego parametry (rozmiar, kolor, rodzaj, ilość) i kliknij „Dodaj do koszyka”. W koszyku podaj swój adres, wybierz metodę dostawy oraz płatności i zatwierdź zamówienie. Otrzymasz e-mail potwierdzający.
MIRJAN24;https://mirjan24.pl;Metody płatności;Jak mogę dokonać płatności za zamówienie?;Udostępniamy płatność gotówką przy odbiorze (nasi kurierzy przyjmują też płatności zbliżeniowo i BLIKiem), tradycyjny przelew, szybkie płatności online, BLIK, ApplePay, GooglePay, płatności odroczone (Twisto, PayPo) oraz system ratalny.
MIRJAN24;https://mirjan24.pl;Zakupy na raty;Jak dokonać zakupów na raty?;Sprzedaż ratalną realizujemy online za pośrednictwem Santander Consumer Bank, Credit Agricole, PayU Raty lub Przelewy24. Wszystkie formalności i weryfikacja zdolności kredytowej odbywają się przez internet, bez wychodzenia z domu.
MIRJAN24;https://mirjan24.pl;Rabaty i Promocje;Czy sklep oferuje dodatkowe zniżki dla klientów?;Tak, za zapis do newslettera przyznajemy 3% zniżki na zakupy. Klienci, którzy dokonali już u nas zakupów, otrzymują kod rabatowy 5% na kolejne zamówienie. Dodatkowo stałe promocje znajdują się w dedykowanej sekcji na stronie.
BODZIO Meble;https://bodzio.pl;Porady aranżacyjne;Jakie sprzęty AGD dobrać do małej kuchni w bloku?;Do małej kuchni najlepiej wybrać kompaktowe sprzęty AGD: wąską zmywarkę (45 cm), płytę indukcyjną dwupalnikową oraz piekarnik z wbudowaną funkcją mikrofali, co pozwala zaoszczędzić cenną przestrzeń na blatach roboczych.
BODZIO Meble;https://bodzio.pl;Projektowanie wnętrz;Czy warto zdecydować się na aneks kuchenny połączony z salonem?;Tak, w małych mieszkaniach połączenie kuchni z salonem pozwala na optyczne powiększenie przestrzeni mieszkalnej i lepsze doświetlenie pomieszczenia, otwierając strefę dzienną domowników.
KLER;https://kler.eu;Zamówienia indywidualne;Czy meble Kler można spersonalizować pod kątem wymiarów?;Marka Kler oferuje bardzo szerokie możliwości personalizacji modułowej. Wiele kolekcji pozwala na dobór układu elementów, rodzaju i koloru skóry lub tkaniny premium, a także funkcji dodatkowych (np. elektryczne sensory relaksu), jednak wymiary poszczególnych modułów są zdefiniowane technologicznie.
Home&You;https://home-you.com;Zamówienia Marketplace;Czy produkty oferowane przez Partnerów Marketplace można odebrać w salonie stacjonarnym?;Nie. Produkty oznaczone jako oferta od Sprzedawców Marketplace nie stanowią asortymentu własnego home&you, dlatego ich dostawa do salonów stacjonarnych nie jest możliwa. Nie można ich również opłacić kartą podarunkową home&you.
Home&You;https://home-you.com;Karty podarunkowe;Gdzie sprawdzę saldo i ważność mojej karty podarunkowej?;Saldo oraz datę ważności karty (ważna 12 miesięcy od końca miesiąca wydania) można sprawdzić na stronie internetowej w sekcji Karta podarunkowa -> Saldo karty, podając jej numer i kod PIN, bądź bezpośrednio przy kasie w dowolnym salonie stacjonarnym.
DUKA;https://duka.com;Reklamacje;Co podlega reklamacji i jakich dokumentów potrzebuję?;Reklamacji podlegają m.in. uszkodzenia transportowe, rysy, pęknięcia, nieszczelności urządzeń AGD lub niezgodność z opisem. Wymagany jest dowód zakupu (paragon/faktura lub potwierdzenie płatności kartą/numer zamówienia), dokładny opis wady oraz zdjęcia dokumentujące problem wysłane przez formularz online.
DUKA;https://duka.com;Zwroty towaru;Jak poprawnie przygotować i odesłać zwrot do DUKA?;Towar musi być nieużywany i w oryginalnym opakowaniu. Można skorzystać z portalu Wygodne Zwroty, gdzie wypełnia się formularz online i nadaje paczkę w wybranym punkcie (np. Paczkomat, Żabka) bez konieczności drukowania etykiety. Zwrot środków następuje do 14 dni.
Eurofirany;https://eurofirany.com.pl;Usługi krawieckie;Czy oferują Państwo szycie firan i zasłon na wymiar?;Tak, Eurofirany posiadają profesjonalne pracownie krawieckie. Zamówienie na szycie miarowe można złożyć w salonach stacjonarnych lub za pomocą konfiguratora szycia online na naszej stronie, wybierając rodzaj wykończenia (taśma, przelotki, fleksy) oraz dokładne wymiary.
Maxfliz;https://maxfliz.pl;Obsługa Klienta i Projektowanie;Czy w Maxfliz mogę zamówić kompleksowy projekt wnętrza?;Tak, Maxfliz współpracuje z szerokim gronem architektów wnętrz i oferuje usługę profesjonalnego doradztwa projektowego przy zakupie materiałów wykończeniowych, płytek, armatury łazienkowej oraz mebli w naszych salonach handlowych.
KOMFORT;https://komfort.pl;Konto użytkownika;Czy muszę zakładać konto, aby dokonać zakupu w sklepie Komfort?;Nie, zakupy można zrobić bez rejestracji jako gość. Założenie darmowego konta daje jednak korzyści w postaci śledzenia statusu zamówienia, wglądu w pełną historię zakupów oraz przyspiesza realizację kolejnych transakcji.
KOMFORT;https://komfort.pl;Modyfikacja zamówienia;Czy mogę zmienić lub anulować złożone zamówienie?;Do momentu opłacenia zamówienia zmiany (ilość, rodzaj towaru, adres dostawy) można wprowadzać bezpośrednio. Po opłaceniu prosimy o pilny kontakt telefoniczny z Infolinią pod numerem 42 21 44 500 w celu weryfikacji etapu realizacji przesyłki.
KOMFORT;https://komfort.pl;Dostawa i Płatności;Jakie metody płatności są akceptowane przy dostawie do domu?;Akceptujemy przelewy online, karty płatnicze, system BLIK oraz płatności ratalne za pośrednictwem zintegrowanego operatora Przelewy24.
WestwingNow;https://westwingnow.pl;Polityka zwrotów;Ile czasu mam na zwrot produktu zakupionego na WestwingNow?;WestwingNow oferuje wydłużone prawo do odstąpienia od umowy. Na zwrot zakupionego towaru bez podania przyczyny masz aż 100 dni od dnia otrzymania przesyłki. Towar musi być odesłany w stanie nienaruszonym.
Meble.pl;https://meble.pl;Usługi CNC i Stolarskie;Jak zamówić formatki meblowe cięte na wymiar?;Zamówienia na formatowanie płyt, oklejanie krawędzi oraz nawiercanie otworów CNC należy składać przez wysłanie projektu na adres email: cnc@meble.pl. Preferowanymi formatami plików są rysunki techniczne DWG lub DXF.
TwojeMeble;https://twojemeble.pl;Czas realizacji;Dlaczego produkty w jednym zamówieniu mają różne terminy dostawy?;TwojeMeble to platforma zrzeszająca produkty wielu różnych producentów. Czas realizacji zależy od dostępności towaru u konkretnego producenta. Zamówienie wysyłamy zazwyczaj w jednej zbiorczej paczce po skompletowaniu całości, chyba że ustalono inaczej.
Selsey;https://selsey.pl;Logistyka dostaw;Czy kurier ma obowiązek wniesienia paczki z meblami do mieszkania?;Standardowo kurier ma obowiązek wniesienia przesyłki pod drzwi lokalu, jeżeli jej waga nie przekracza 30 kg. W przypadku paczek cięższych (np. duże szafy, łóżka, narożniki) kurier dostarcza przesyłkę pod budynek, chyba że podczas składania zamówienia wybrano opcję dostawy premium z usługą wniesienia.
Selsey;https://selsey.pl;Usługi dodatkowe;Czy sklep Selsey oferuje profesjonalny montaż zamówionych mebli?;Tak, przy wybranych grupach produktów oferujemy opcjonalną usługę profesjonalnego montażu mebli. Informacja o dostępności oraz cenniku tej usługi jest zamieszczona bezpośrednio na karcie wybranego produktu.
Selsey;https://selsey.pl;Harmonogram wysyłki;Czy istnieje możliwość celowego opóźnienia wysyłki zamówienia?;Tak, możemy opóźnić wysyłkę zamówienia na prośbę klienta o maksymalnie 20 dni kalendarzowych względem standardowego terminu. Odpowiednią informację należy wpisać w polu uwag podczas finalizacji zamówienia (nie dotyczy produktów z wysyłką 24-48h).
SFMeble;https://sfmeble.pl;Integracja systemów;Co oznacza połączenie marek sfmeble.pl i meble.pl dla mojego zamówienia?;W związku z dołączeniem sfmeble.pl do Grupy meble.pl następuje unifikacja magazynów i procedur obsługi. Przejściowo mogą wystąpić minimalne opóźnienia w realizacji lub obsłudze zwrotów, jednak dokładamy wszelkich starań, aby usprawnić standardy zakupowe.
Meblobranie.pl;https://meblobranie.pl;Finansowanie;Czy przy wyborze płatności ratalnej przez internet ponoszę dodatkowe koszty?;To zależy od wybranej oferty banku. W Meblobranie.pl cyklicznie udostępniamy oferty 'Raty 0%', gdzie klient nie ponosi żadnych kosztów odsetek ani prowizji. Poza okresami promocyjnymi banki oferują standardowe oprocentowanie zależne od liczby rat.
EMAKO;https://emako.pl;Wysyłka;Jak szybko wysyłane są produkty ze sklepu Emako?;Większość asortymentu (akcesoria domowe, organizery, tekstylia) znajduje się w naszym własnym magazynie. Zamówienia złożone i opłacone do godziny 12:00 są zazwyczaj wysyłane jeszcze tego samego dnia, a dostawa trwa 24-48h.
Westwing;https://westwing.pl;Model zakupowy;Jak działa klub zakupowy Westwing?;Westwing działa jako zamknięty klub zakupowy oferujący codzienne, krótkie kampanie tematyczne z rabatami do -70%. Produkty w koszyku są rezerwowane na czas 20 minut - po tym okresie, ze względu na ograniczoną liczbę sztuk, wracają do ogólnej puli dostępnej dla innych członków klubu.
Dekoria;https://dekoria.pl;Zamówienia i czas realizacji;Jaki jest standardowy termin realizacji zamówień w sklepie Dekoria?;Standardowy termin realizacji zamówień (w tym szytych na miarę rolet czy zasłon) wynosi około 5 dni roboczych, liczonych od momentu zaksięgowania wpłaty na naszym koncie bankowym.
Dekoria;https://dekoria.pl;Darmowe próbki;Czy można zamówić próbki tkanin przed zakupem i ile one kosztują?;Tak, na stronie dekoria.pl/probnik można wybrać i zamówić do 10 darmowych próbek interesujących Cię tkanin. Wysyłamy je bezpłatnie za pośrednictwem Poczty Polskiej (list zwykły), aby ułatwić dopasowanie koloru i faktury do wnętrza.
Dekoria;https://dekoria.pl;Faktury i prawo do zwrotu;Czy zamawiając towar na firmę (faktura VAT) przysługuje mi prawo do zwrotu?;Nie. Towar zakupiony w ramach prowadzonej działalności gospodarczej (z podaniem numeru NIP firmy) nie podlega standardowemu konsumenckiemu prawu do zwrotu bez podania przyczyny, ponieważ kupujący traci w tej sytuacji status Konsumenta.
Fabryka Form;https://fabrykaform.pl;Oryginalność produktów;Czy wszystkie produkty oferowane w Fabryce Form są produktami oryginalnymi?;Tak, jesteśmy oficjalnym dystrybutorem wszystkich marek premium prezentowanych w naszym sklepie (m.in. Alessi, Stelton, Joseph Joseph). Wszystkie towary są w 100% oryginalne, fabrycznie nowe i objęte pełną gwarancją producenta.
